633,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"75 j.m./0,5 ml","1 fiol. 0,5 ml
5 fiol. 0,5 ml
10 fiol. 0,5 ml","5909990684434
5909990684441
5909990684458","Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
634,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"100 j.m./0,5
ml","1 fiol. 0,5 ml
5 fiol. 0,5 ml
10 fiol. 0,5 ml","5909990684465
5909990684472
5909990684489","Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
635,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"150 j.m./0,18
ml",1 wkład + 3 igły,5909990684588,Rpz,"Merck Sharp & Dohme
Ltd.","N.V. Organon
Organon Ireland LTD.","NL
IE"
636,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"150 j.m./0,5
ml","1 fiol. 0,5 ml
5 fiol. 0,5 ml
10 fiol. 0,5 ml","5909990684496
5909990684502
5909990684526","Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
637,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"200 j.m./0,5
ml","1 fiol. 0,5 ml
5 fiol. 0,5 ml
10 fiol. 0,5 ml","5909990684533
5909990684540
5909990684557","Rpz
Rpz
Rpz","Merck Sharp & Dohme
Ltd.",N.V. Organon,NL
638,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"300 j.m./0,36
ml","1 wkład 0,48 ml + 2 op. z 3
igłami do wstrzykiwacza",5909990684564,Rpz,"Merck Sharp & Dohme
Ltd.","N.V. Organon
Organon Ireland LTD.","NL
IE"
639,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"600 j.m./0,72
ml","1 wkład 0,84 ml + 2 op. z 3
igłami do wstrzykiwacza",5909990684571,Rpz,"Merck Sharp & Dohme
Ltd.","N.V. Organon
Organon Ireland LTD.","NL
IE"
640,Fertavid,Follitropinum beta,roztwór do wstrzykiwań,"900 j.m./1,08
ml","1 wkład 1,23 ml + 3 op. z 3
igłami do wstrzykiwacza",5909990684595,Rpz,"Merck Sharp & Dohme
Ltd.","N.V. Organon
Organon Ireland LTD.","NL
IE"
641,Fexeric,Ferri citras,tabletki powlekane,1 g,200 tabl.,,Rp,Keryx Biopharma UK Ltd.,Propak Health Limited,IE
642,Filgrastim Hexal,Filgrastimum,"roztwór do wstrzykiwań
lub infuzji","30 mln
j.m./0,5 ml
(60 mln
j.m./ml)","1 amp.-strzyk. 0,5 ml
3 amp.-strzyk. 0,5 ml
5 amp.-strzyk. 0,5 ml
10 amp.-strzyk. 0,5 ml","5909990683307
5909990683338
5909990683345
5909990683352","Rpz
Rpz
Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
643,Filgrastim Hexal,Filgrastimum,"roztwór do wstrzykiwań
lub infuzji","48 mln
j.m./0,5 ml
(96 mln
j.m./ml)","1 amp.-strzyk. 0,5 ml
3 amp.-strzyk. 0,5 ml
5 amp.-strzyk. 0,5 ml
10 amp.-strzyk. 0,5 ml","5909990683369
5909990683376
5909990683383
5909990683390","Rpz
Rpz
Rpz
Rpz",HEXAL AG,Sandoz GmbH,AT
644,Firazyr,Icatibantum,roztwór do wstrzykiwań,10 mg/ml,"1 amp.-strzyk.
3 amp.-strzyk.",5909990740635,"Rp
Rp","Shire Orphan Therapies
GmbH","Shire Pharmaceuticals
Ireland Ltd.",IE
645,Firdapse,Amifampridinum,tabletki,10 mg,100 tabl.,5909991274054,Rpz,BioMarin Europe Limited,"Catalent UK Packaging
Limited
Excella GmbH
ETABLISSEMENT
PHARMACEUTIQUE DE
L'AP-HP
BioMarin International
Limited","GB
DE
FR
IE"
646,Firmagon,Degarelixum,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",80 mg,"1 fiol. proszku + 1 amp.-strzyk.
rozp.
3 fiol. proszku + 3 amp.-strzyk.
rozp.",5909990774852,"Rp
Rp","Ferring Pharmaceuticals
A/S",Ferring GmbH,DE
647,Firmagon,Degarelixum,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",120 mg,"2 fiol. proszku + 2 amp-strzyk.
rozp.",5909990774869,Rp,"Ferring Pharmaceuticals
A/S",Ferring GmbH,DE
648,Flebogamma DIF,"Immunoglobulinum
humanum normale",roztwór do infuzji,50 mg/ml,"1 fiol. 10 ml
1 fiol. 50 ml
1 fiol. 100 ml
1 fiol. 200 ml
1 fiol. 400 ml","5909990797851
5909990797899
5909990797868
5909990797875
5909990797882","Rpz
Rpz
Rpz
Rpz
Rpz","Instituto Grifols, S.A.","Instituto Grifols, S.A.",ES
649,Flebogamma DIF,"Immunoglobulinum
humanum normale",roztwór do infuzji,100 mg/ml,"1 fiol. 50 ml
1 fiol. 100 ml
1 fiol. 200 ml","5909990836079
5909990836055
5909990836062","Rpz
Rpz
Rpz","Instituto Grifols, S.A.","Instituto Grifols, S.A.",ES
650,Flixabi,Infliximabum,"proszek do sporządzania
koncentratu roztworu do
infuzji",100 mg,"1 fiol.
2 fiol.
3 fiol.
4 fiol.
5 fiol.",,"Rpz
Rpz
Rpz
Rp
Rp","Samsung Bioepis UK
Limited","Biogen Denmark
Manufacturing ApS",DK
651,Fluenz Tetra,"Szczepionka przeciw
grypie (żywa
atenuowana, do nosa)","aerozol do nosa,
zawiesina",,"1 aplikator 0,2 ml
10 aplikatorów 0,2 ml
1 aplikator 0,2 ml
10 aplikatorów 0,2 ml",,"Rp
Rp
Rp
Rp","MedImmune, LLC","MedImmune, UK Limited",GB
652,Foclivia,"Szczepionka przeciw
grypie pandemicznej",zawiesina do wstrzykiwań,-,"1 amp.-strzyk.
10 fiol. 0,5 ml (1 dawka)
10 amp.-strzyk.
10 fiol. 5 ml (10 dawek)",,"Rp
Rp
Rp
Rp",Seqirus S.r.l.,Seqirus Vaccines Ltd,GB
653,Forsteo,Teriparatidum,roztwór do wstrzykiwań,"20 mcg/80
mcl","1 wstrzyk. 3 ml
3 wstrzyk. 3 ml","5909990000869
5909990005024","Rp
Rp",Eli Lilly Nederland B.V.,Lilly France S.A.S.,FR
654,Fortacin,"Lidocainum +
Prilocainum","aerozol do stosowania na
skórę, roztwór","(150 mg + 50
mg)/ml",1 poj.,,Rp,Plethora Solutions LTD,"Pharmaserve
(North West) Ltd
Catalent UK Packaging
Limited","GB
GB"
655,Forxiga,Dapagliflozinum,tabletki powlekane,5 mg,"14 tabl.
28 tabl.
30 tabl. (30 x 1)
90 tabl. (90 x 1)
98 tabl.","5909990975761
5909990975778
5909990975792
5909990975808
5909990975785","Rp
Rp
Rp
Rp
Rp",AstraZeneca AB,"AstraZeneca GmbH
AstraZeneca UK Ltd.
Bristol-Myers Squibb
S.r.l.","DE
GB
IT"
656,Forxiga,Dapagliflozinum,tabletki powlekane,10 mg,"14 tabl.
28 tabl.
30 tabl. (30 x 1)
90 tabl. (90 x 1)
98 tabl.","5909990975853
5909990975860
5909990975884
5909990975891
5909990975877","Rp
Rp
Rp
Rp
Rp",AstraZeneca AB,"Bristol-Myers Squibb
S.R.L.
AstraZeneca UK Ltd.
AstraZeneca GmbH","IT
GB
DE"
657,Fosavance,"Natrii alendronas +
Cholecalciferolum",tabletki,"70 mg + 2800
j.m.","2 tabl.
4 tabl.
6 tabl.
12 tabl.","5909990335268
5909990335275
5909990335282
5909990335299","Rp
Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
B.V.",NL
658,Fosavance,"Natrii alendronas +
Cholecalciferolum",tabletki,"70 mg + 5600
j.m.","2 tabl.
4 tabl.
12 tabl.",,"Rp
Rp
Rp","Merck Sharp & Dohme
Ltd.","Merck Sharp & Dohme
B.V.",NL
659,Foscan,Temoporfilum,roztwór do wstrzykiwań,1 mg/ml,"1 fiol. 1 ml
1 fiol. 3 ml
1 fiol. 6 ml","5909990856572
5909990856589
5909990856596","Rpz
Rpz
Rpz",biolitec Pharma Ltd.,biolitec Pharma Ltd.,DE
660,Fuzeon,Enfuvirtidum,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",90 mg/ml,60 fiol. proszku + 60 fiol. rozp.,5909990000289,Rpz,Roche Registration Ltd.,Roche Pharma AG,DE
661,Fycompa,Perampanelum,tabletki powlekane,2 mg,"7 tabl.
28 tabl.
98 tabl.",,"Rp
Rp
Rp",Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
662,Fycompa,Perampanelum,tabletki powlekane,4 mg,"7 tabl.
28 tabl.
84 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp",Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
663,Fycompa,Perampanelum,tabletki powlekane,6 mg,"7 tabl.
28 tabl.
84 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp",Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
664,Fycompa,Perampanelum,tabletki powlekane,8 mg,"7 tabl.
28 tabl.
84 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp",Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
665,Fycompa,Perampanelum,tabletki powlekane,10 mg,"7 tabl.
28 tabl.
84 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp",Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
666,Fycompa,Perampanelum,tabletki powlekane,12 mg,"7 tabl.
28 tabl.
84 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp",Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
667,Fycompa,Perampanelum,zawiesina doustna,"0,5 mg/ml",1 butelka,,Rp,Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
668,Galafold,Migalastatum,kapsułki twarde,123 mg,14 kaps.,,Rpz,"Amicus Therapeutics UK
Ltd","Almac Pharma Services
Ltd.",GB
669,Galvus,Vildagliptinum,tabletki,50 mg,"7 tabl.
14 tabl.
28 tabl.
30 tabl.
56 tabl.
60 tabl.
90 tabl.
112 tabl.
180 tabl.
336 tabl.
336 tabl.","5909990066551
5909990066568
5909990066575
5909990066582","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
670,Ganfort,"Bimatoprostum +
Timololum","krople do oczu, roztwór","(300 mcg + 5
mg)/ml","5 poj. 0,4 ml
30 poj. 0,4 ml
90 poj. 0,4 ml
1 butelka 3 ml
3 butelki 3 ml","5909991072476
5909991072483
5909991072490
5909990574315
5909990574322","Rp
Rp
Rp
Rp
Rp","Allergan Pharmaceuticals
Ireland","Allergan
Pharmaceuticals Ireland",IE
671,Gardasil,"Szczepionka przeciw
wirusowi brodawczaka
ludzkiego [typy 6, 11,
16, 18]
(rekombinowana,
adsorbowana)",zawiesina do wstrzykiwań,-,"1 fiol. 0,5 ml
1 amp.-strzyk.
1 amp.-strzyk. 0,5 ml + 1 igła
1 amp.-strzyk. 0,5 ml + 2 igły
10 fiol. 0,5 ml
10 amp.-strzyk.
10 amp.-strzyk. 0,5 ml + 10 igieł
10 amp.-strzyk. 0,5 ml + 20 igieł
20 fiol. 0,5 ml
20 amp.-strzyk.
20 amp.-strzyk. 0,5 ml + 20 igieł
20 amp.-strzyk.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Pasteur MSD SNC,"Merck Sharp & Dohme
B.V.",NL
672,Gardasil 9,"Szczepionka przeciw
wirusowi brodawczaka
ludzkiego [typy 6, 11,
16, 18, 31, 33, 45, 52,
58] (rekombinowana,
adsorbowana), 9-
walentna",zawiesina do wstrzykiwań,-,"1 fiol. 0,5 ml
1 amp.-strzyk. 0,5 ml + 2 igły
10 amp.-strzyk. 0,5 ml + 20 igieł","5901549324976
5901549324990
5901549324983","Rp
Rp
Rp",Sanofi Pasteur MSD SNC,"Merck Sharp & Dohme
B.V.",NL
673,Gazyvaro,Obinutuzumabum,"koncentrat do
sporządzania roztworu do
infuzji",1000 mg,1 fiol. 40 ml,5902768001105,Rpz,Roche Registration Ltd.,Roche Pharma AG,DE
674,Genvoya,"Elvitegravirum +
Cobicistatum +
Emtricitabinum +
Tenofoviri
alafenamidum",tabletki powlekane,"150 mg + 150
mg + 200 mg
+ 10 mg","30 tabl.
90 tabl.",,"Rpz
Rpz","Gilead Sciences
International Ltd.","Gilead Sciences Ireland
UC",IE
675,Gilenya,Fingolimodum,kapsułki twarde,"0,5 mg","7 kaps.
28 kaps.
84 kaps.
98 kaps.","5909990856473
5909990856480
5909990856497","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
676,Giotrif,Afatinibum,tabletki powlekane,20 mg,"7 tabl.
14 tabl.
28 tabl.","5909991083373
5909991083380
5909991083397","Rpz
Rpz
Rpz","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
677,Giotrif,Afatinibum,tabletki powlekane,30  mg,"7 tabl.
14 tabl.
28 tabl.","5909991083403
5909991083427
5909991083434","Rpz
Rpz
Rpz","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
678,Giotrif,Afatinibum,tabletki powlekane,40 mg,"7 tabl.
14 tabl.
28 tabl.","5909991083441
5909991083458
5909991083465","Rpz
Rpz
Rpz","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
679,Giotrif,Afatinibum,tabletki powlekane,50 mg,"7 tabl.
14 tabl.
28 tabl.","5909991083472
5909991083489
5909991083496","Rpz
Rpz
Rpz","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
680,Glidipion,Pioglitazonum,tabletki,15 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.
100 tabl.","5909990947690
5909990917143
5909990917150
5909990917167","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Actavis Group PTC ehf.,Actavis Ltd.,MT
681,Glidipion,Pioglitazonum,tabletki,30 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.
100 tabl.","5909990948109
5909990917174
5909990917181
5909990917198","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Actavis Group PTC ehf.,Actavis Ltd.,MT
682,Glidipion,Pioglitazonum,tabletki,45 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.
100 tabl.","5909990948192
5909990917204
5909990917228
5909990917235","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Actavis Group PTC ehf.,Actavis Ltd.,MT
683,Gliolan,"Acidum 5-
aminolevulinicum
hydrochloridum","proszek do sporządzania
roztworu doustnego",30 mg/ml,"1 fiol. 1,5 g
2 fiol. 1,5 g
10 fiol. 1,5 g","4037353003552
5909990782475
5909990782482","Rpz
Rpz
Rpz","medac Gesellschaft fuer
klinische
Specialpraeparate mbH","medac Gesellschaft fuer
klinische
Specialpraeparate mbH",DE
684,Glivec,Imatinibum,kapsułki twarde,100 mg,"24 kaps.
48 kaps.
96 kaps.
120 kaps.
180 kaps.","5909990000982
5909990909810
5909990000999
5909990909827
5909990001002","Rpz
Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
685,Glivec,Imatinibum,kapsułki twarde,50 mg,30 kaps.,5909990909711,Rpz,Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
686,Glivec,Imatinibum,tabletki powlekane,100 mg,"20 tabl.
60 tabl.
120 tabl.
180 tabl.","5909990001040
5909990001057
5909990010356
5909990010363","Rpz
Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
687,Glivec,Imatinibum,tabletki powlekane,400 mg,"10 tabl.
30 tabl.
90 tabl.","5909990001064
5909990001071
5909990010349","Rpz
Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
688,Glubrava,"Pioglitazonum +
Metformini
hydrochloridum",tabletki powlekane,"15 mg + 850
mg","14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
60 tabl.
90 tabl.
98 tabl.
180 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Takeda Pharma A/S,"Takeda Ireland Limited
Lilly S.A.
Takeda Italia S.p.A.","IE
ES
IT"
689,Glustin,Pioglitazonum,tabletki,15 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Takeda Pharma A/S,Takeda Ireland Limited,IE
690,Glustin,Pioglitazonum,tabletki,30 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Takeda Pharma A/S,Takeda Ireland Limited,IE
691,Glustin,Pioglitazonum,tabletki,45 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Takeda Pharma A/S,Takeda Ireland Limited,IE
692,Glybera,"Alipogenum
tiparvovecum",roztwór do wstrzykiwań,"3 x 1012
k.g./ml",1 fiol.,5909991256128,Rpz,uniQure biopharma B.V.,uniQure biopharma B.V.,NL
693,Glyxambi,"Empagliflozinum +
Linagliptinum",tabletka powlekana,10 mg + 5 mg,"7 tabl.
10 tabl.
14 tabl.
28 tabl.
30 tabl.
60 tabl.
70 tabl.
90 tabl.
100 tabl.","5909991308544
5909991308551
5909991308568
5909991308575
5909991308582
5909991308599
5909991308605
5909991308612
5909991308629","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
694,Glyxambi,"Empagliflozinum +
Linagliptinum",tabletka powlekana,25 mg + 5 mg,"7 tabl.
10 tabl.
14 tabl.
28 tabl.
30 tabl.
60 tabl.
70 tabl.
90 tabl.
100 tabl.","5909991308636
5909991308643
5909991308650
5909991308667
5909991308674
5909991308681
5909991308698
5909991308704
5909991308711","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Boehringer Ingelheim
International GmbH","Boehringer Ingelheim
Pharma GmbH & Co. KG",DE
695,Gonal-f,Follitropinum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań","75 j.m. (5,5
mcg)","1 amp. proszku + 1 amp. rozp. 1
ml
1 amp. proszku + 1 amp.-strzyk.
rozp. 1 ml
10 amp. proszku + 10 amp.
rozp. 1 ml
10 fiol. proszku + 10 amp.-
strzyk. rozp.","5909990461615
5909990697304
5909990461639
5909991108656","Rp
Rp
Rp
Rp","Merck Serono Europe
Limited",Merck Serono S.p.A.,IT
696,Gonal-f,Follitropinum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań","300 j.m./0,5
ml (22
mcg/0,5 ml)","1 fiol. proszku + 1 amp.-strzyk.
rozp. + 4 strzyk.",5909990007189,Rp,"Merck Serono Europe
Limited","Industria Farmaceutica
Serono S.p. A.",IT
697,Gonal-f,Follitropinum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań","450 j.m./0,75
ml (33
mcg/0,75 ml)","1 fiol. proszku + 1 amp.-strzyk.
+ 6 strzyk.",5909990007202,Rp,"Merck Serono Europe
Limited","Industria Farmaceutica
Serono S.p. A.",IT
698,Gonal-f,Follitropinum alfa,roztwór do wstrzykiwań,"300 j.m./0,5
ml (22
mcg/ml)",1 wstrzykiwacz + 5 igieł,5909990007257,Rp,"Merck Serono Europe
Limited",Merck Serono S.p.A.,IT
699,Gonal-f,Follitropinum alfa,roztwór do wstrzykiwań,"450 j.m./0,75
ml (33
mcg/0,75 ml)",1 wstrzykiwacz + 7 igieł,5909990007264,Rp,"Merck Serono Europe
Limited","Industria Farmaceutica
Serono S.p. A.",IT
700,Gonal-f,Follitropinum alfa,roztwór do wstrzykiwań,"900 j.m./1,5
ml (66
mcg/1,5 ml)",1 wstrzykiwcz + 5 igieł,5909990007240,Rp,"Merck Serono Europe
Limited",Merck Serono S.p.A.,IT
701,Gonal-f,Follitropinum alfa,"proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań","1050
j.m./1,75 ml
(77 mcg/1,75
ml)","1 fiol. proszku + 1 amp.strzyk. +
15 strzyk.",5909990007196,Rp,"Merck Serono Europe
Limited","Industria Farmaceutica
Serono S.p. A.",IT
702,Granpidam,Sildenafilum,tabletki powlekane,20 mg,"90 tabl.
300 tabl.",,"Rpz
Rpz",Accord Healthcare Limited,"Wessling Hungary Kft.
Accord Healthcare
Limited
Laboratori Fundacio Dau","HU
GB
ES"
703,Granupas,"Acidum p-
aminosalicylicum",granulat dojelitowy,4 g,30 sasz.,3400927880155,Rp,Lucane Pharma,Lucane Pharma,FR
704,Grastofil,Filgrastimum,"roztwór do wstrzykiwań
lub infuzji","30 mln
j.m./0,5 ml","1 amp.-strzyk. 0,5 ml
5 amp.-strzyk. 0,5 ml","5909991102500
5909991102531","Rpz
Rpz",Apotex Europe B.V.,Apotex Nederland B.V.,NL
705,Grastofil,Filgrastimum,"roztwór do wstrzykiwań
lub infuzji","48 mln
j.m./0,5 ml","1 amp.-strzyk. 0,5 ml
5 amp.-strzyk. 0,5 ml","5909991102548
5909991102555","Rpz
Rpz",Apotex Europe B.V.,Apotex Nederland B.V.,NL
706,Grepid,Clopidogrelum,tabletki powlekane,75 mg,"10 tabl.
14 tabl.
14 tabl.
28 tabl.
28 tabl.
28 tabl.
30 tabl.
30 tabl.
50 tabl.
50 tabl.
84 tabl.
84 tabl.
90 tabl.
90 tabl.
100 tabl.
100 tabl.","5909990727667
5909990727681
5909990727674
5909990727698","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Pharmathen S.A.,"Pharmaten S.A.
Pharmaten International
S.A.
Orifarm Generics A/S","GR
GR
DK"
707,Halaven,Eribulinum,roztwór do wstrzykiwań,"0,44 mg/ml","1 fiol. 3 ml
1 fiol. 2 ml
6 fiol. 3 ml
6 fiol. 2 ml","5909991004569
5909991004576","Rpz
Rpz
Rpz
Rpz",Eisai Europe Ltd,Eisai Manufacturing Ltd.,GB
708,Harvoni,"Ledipasvirum +
Sofosbuvirum",tabletki powlekane,"90 mg + 400
mg","28 tabl.
84 tabl.",5391507141217,"Rpz
Rpz","Gilead Sciences
International Ltd.","Gilead Sciences Ireland
UC",IE
709,HBVaxPRO,"Vaccinum hepatitidis B
(ADNr) Szczepionka
przeciw wirusowemu
zapaleniu wątroby typu
B (rDNA)",zawiesina do wstrzykiwań,,"1 fiol.
1 amp.-strzyk.
1 amp.-strzyk.
1 amp.-strzyk.
10 fiol.
10 amp.-strzyk.
10 amp.-strzyk.
10 amp.-strzyk.
20 amp.-strzyk.","5909990958412
5909990880140
5909990880164
5909990880188
5909990958429
5909990880157
5909990880171
5909990880195
5909990880201","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Pasteur MSD SNC,"Merck Sharp & Dohme
B.V.",NL
710,HBVaxPRO,"Vaccinum hepatitidis B
(ADNr) Szczepionka
przeciw wirusowemu
zapaleniu wątroby typu
B (rDNA)",zawiesina do wstrzykiwań,,1 fiol.,5909990958511,Rp,Sanofi Pasteur MSD SNC,"Merck Sharp & Dohme
B.V.",NL
711,HBVaxPRO,"Vaccinum hepatitidis B
(ADNr) Szczepionka
przeciw wirusowemu
zapaleniu wątroby typu
B (rDNA)",zawiesina do wstrzykiwań,,"1 amp.-strzyk.
1 amp.-strzyk.
1 amp.-strzyk.
1 fiol.
1 fiol. + 1 strzyk.
10 amp.-strzyk.
10 amp.-strzyk.
10 amp.-strzyk.
10 fiol.
20 amp.-strzyk.
20 amp.-strzyk.
50 amp.-strzyk.
50 amp.-strzyk.","5909990880065
5909990880089
5909990880027
5909990958313
5909990880034
5909990880072
5909990880096
5909990958320
5909990880041
5909990880102
5909990880133
5909990880058","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Sanofi Pasteur MSD SNC,"Merck Sharp & Dohme
B.V.",NL
712,"Helicobacter Test
INFAI",Urea,"proszek do sporządzania
roztworu doustnego",45 mg,1 zestaw,,Rp,"INFAI Institut für
biomedizinische Analytik
und NMR Imaging - GmbH","INFAI Institut für
biomedizinische Analytik
und NMR Imaging -
GmbH",DE
713,"Helicobacter Test
INFAI",Urea,"proszek do sporządzania
roztworu doustnego",75 mg,"1 zestaw
1 zestaw
1 zestaw
1 zestaw",,"Rp
Rp
Rp
Rp","INFAI Institut für
biomedizinische Analytik
und NMR Imaging - GmbH","INFAI Institut für
biomedizinische Analytik
und NMR Imaging -
GmbH",DE
714,Helixate NexGen,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",250 j.m.,"1 zestaw (1 fiol. proszku + 1 fiol.
rozp. + 1 zestaw do podawania)",5909990008308,Rpz,Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
715,Helixate NexGen,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",500 j.m.,"1 zestaw (1 fiol. proszku + 1 fiol.
rozp. + 1 zestaw do podawania)",5909990008322,Rpz,Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
716,Helixate NexGen,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",1000 j.m.,"1 zestaw (1 fiol. proszku + 1 fiol.
rozp. + 1 zestaw do podawania)",5909990008339,Rpz,Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
717,Helixate NexGen,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",2000 j.m.,1 fiol. proszku + 1 fiol. rozp.,,Rpz,Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
718,Helixate NexGen,"Octocogum alfa.
Czynnik VIII krzepnięcia
krwi ludzki
rekombinowany","proszek i rozpuszczalnik
do sporządzania roztworu
do wstrzykiwań",3000 j.m.,1 fiol. proszku + 1 fiol. rozp.,,Rpz,Bayer Pharma AG,"Bayer HealthCare
Manufacturing S.r.l.",IT
719,Hemangiol,Propranololum,roztwór doustny,"3,75 mg/ml",1 butelka 120 ml,5909991140991,Rpz,Pierre Fabre Dermatologie,"FARMEA
Pierre Fabre Medicament
Production
Pierre Fabre Medicament
Production","FR
FR
FR"
720,Hepsera,Adefoviri dipivoxil,tabletki,10 mg,"30 tabl.
90 tabl.",5909990009596,"Rpz
Rpz","Gilead Sciences
International Ltd.","Gilead Sciences Ireland
UC",IE
721,Herceptin,Trastuzumabum,"proszek do sporządzania
koncentratu roztworu do
infuzji",150 mg,1 fiol. 150 mg,5909990855919,Rpz,Roche Registration Ltd.,Roche Pharma AG,DE
722,Herceptin,Trastuzumabum,roztwór do wstrzykiwań,600 mg/5 ml,"1 fiol. 5 ml
1 urządzenie do iniekcji
5 ml",5902768001037,"Rpz
Rpz",Roche Registration Ltd.,Roche Pharma AG,DE
